nodes, digits, seconds, instances, acc
101,0,0.0,0,0.9769
101,3,0.0,0,0.9227
101,4,0.0,0,0.9383
101,5,0.0,0,0.918
101,8,0.0,0,0.9094
151,0,0.0,0,0.9766
151,3,0.0,0,0.9207
151,5,0.0,0,0.9289
151,4,0.0,0,0.9545
151,8,0.0,0,0.9176
201,0,0.0,0,0.9783
201,3,0.0,0,0.9212
201,4,0.0,0,0.9538
201,5,0.0,0,0.9307
201,8,0.0,0,0.9211
251,0,0.0,0,0.9798
251,4,0.0,0,0.9585
251,3,0.0,0,0.9272
251,8,0.0,0,0.9194
251,5,0.0,0,0.934
301,0,0.0,0,0.9803
301,4,0.0,0,0.9598
301,3,0.0,0,0.9341
301,5,0.0,0,0.9324
301,8,0.0,0,0.9199
351,0,0.0,0,0.981
351,4,0.0,0,0.9615
351,3,0.0,0,0.936
351,5,0.0,0,0.937
351,8,0.0,0,0.9205
401,0,0.0,0,0.9814
401,4,0.0,0,0.9614
401,3,0.0,0,0.9362
401,5,0.0,0,0.9412
401,8,0.0,0,0.9196
451,0,0.0,0,0.9819
451,4,0.0,0,0.9625
451,3,0.0,0,0.9337
451,5,0.0,0,0.9429
451,8,0.0,0,0.9241
501,0,0.0,0,0.9825
501,4,0.0,0,0.9642
501,3,0.0,0,0.9367
501,5,0.0,0,0.9452
501,8,0.0,0,0.9255
551,0,0.0,0,0.9835
551,4,0.0,0,0.962
551,3,0.0,0,0.9378
551,5,0.0,0,0.9469
551,8,0.0,0,0.9302
601,0,0.0,0,0.9837
601,4,0.0,0,0.9642
601,3,0.0,0,0.937
601,5,0.0,0,0.9489
601,8,0.0,0,0.9332
651,0,0.0,0,0.9838
651,4,0.0,0,0.9663
651,3,0.0,0,0.9384
651,5,0.0,0,0.9503
651,8,0.0,0,0.9326
701,0,0.0,0,0.9839
701,4,0.0,0,0.9676
701,3,0.0,0,0.9396
701,5,0.0,0,0.9515
701,8,0.0,0,0.9342
751,0,0.0,0,0.9839
751,4,0.0,0,0.9684
751,3,0.0,0,0.943
751,5,0.0,0,0.9518
801,0,0.0,0,0.9837
751,8,0.0,0,0.935
801,4,0.0,0,0.9687
801,3,0.0,0,0.9462
801,5,0.0,0,0.9531
851,0,0.0,0,0.9856
801,8,0.0,0,0.9354
851,4,0.0,0,0.9694
851,3,0.0,0,0.9476
851,5,0.0,0,0.9539
901,0,0.0,0,0.9855
851,8,0.0,0,0.9351
901,4,0.0,0,0.9699
901,3,0.0,0,0.9486
901,5,0.0,0,0.9549
951,0,0.0,0,0.9859
951,4,0.0,0,0.9702
901,8,0.0,0,0.936
951,3,0.0,0,0.9494
951,5,0.0,0,0.9563
1001,0,0.0,0,0.986
1001,4,0.0,0,0.9705
951,8,0.0,0,0.9357
1001,3,0.0,0,0.9495
1001,5,0.0,0,0.9567
1001,8,0.0,0,0.9362
