nodes, digits, seconds, instances, acc
101,0,0.0055164444444443855,20,0.9769
101,3,0.00798255555555569,20,0.9227
101,4,0.008067555555555606,20,0.9383
101,5,0.007901166666666662,20,0.918
101,8,0.008470666666666626,20,0.9094
151,0,0.007325444444444483,20,0.9766
151,3,0.005801277777777836,20,0.9207
151,5,0.00581205555555559,20,0.9289
151,4,0.006091999999999962,20,0.9545
151,8,0.006193499999999987,20,0.9176
201,0,0.005207388888888954,20,0.9783
201,3,0.005685111111111067,20,0.9212
201,4,0.005217388888888896,20,0.9538
201,5,0.006329166666666743,20,0.9307
201,8,0.0072685555555555125,20,0.9211
251,0,0.005257333333333348,20,0.9798
251,4,0.005529777777777831,20,0.9585
251,3,0.007557944444444415,20,0.9272
251,8,0.0057658888888888855,20,0.9194
251,5,0.00782749999999995,20,0.934
301,0,0.005598777777777706,20,0.9803
301,4,0.0072845555555555285,20,0.9598
301,3,0.005471999999999995,20,0.9341
301,5,0.0055833888888888366,20,0.9324
301,8,0.006167666666666621,20,0.9199
351,0,0.0072285555555556946,20,0.981
351,4,0.005421333333333254,20,0.9615
351,3,0.00582583333333332,20,0.936
351,5,0.005675833333333398,20,0.937
351,8,0.007904388888888855,20,0.9205
401,0,0.005197777777777783,20,0.9814
401,4,0.005517666666666655,20,0.9614
401,3,0.007498611111111053,20,0.9362
401,5,0.007665555555555493,20,0.9412
401,8,0.0057102777777777725,20,0.9196
451,0,0.005305833333333491,20,0.9819
451,4,0.007200499999999967,20,0.9625
451,3,0.0057360555555555515,20,0.9337
451,5,0.00575027777777764,20,0.9429
451,8,0.007736111111111092,20,0.9241
501,0,0.0070796111111110565,20,0.9825
501,4,0.005350444444444275,20,0.9642
501,3,0.007530777777777825,20,0.9367
501,5,0.00774661111111098,20,0.9452
501,8,0.005687555555555581,20,0.9255
551,0,0.005355777777777663,20,0.9835
551,4,0.007745888888888904,20,0.962
551,3,0.005357111111110985,20,0.9378
551,5,0.005598611111110991,20,0.9469
551,8,0.008028499999999945,20,0.9302
601,0,0.005291666666666768,20,0.9837
601,4,0.005339277777777873,20,0.9642
601,3,0.005572277777777727,20,0.937
601,5,0.007370777777777714,20,0.9489
601,8,0.005525833333333254,20,0.9332
651,0,0.0075336666666666234,20,0.9838
651,4,0.0056518333333333,20,0.9663
651,3,0.007446777777777826,20,0.9384
651,5,0.005395666666666503,20,0.9503
651,8,0.008525222222222172,20,0.9326
701,0,0.0053878888888888215,20,0.9839
701,4,0.007436555555555607,20,0.9676
701,3,0.005670944444444468,20,0.9396
701,5,0.005688388888888834,20,0.9515
701,8,0.008578777777777713,20,0.9342
751,0,0.007114777777777853,20,0.9839
751,4,0.005248388888888764,20,0.9684
751,3,0.007109333333333239,20,0.943
751,5,0.007197166666666612,20,0.9518
801,0,0.005269666666666506,20,0.9837
751,8,0.005801555555555578,20,0.935
801,4,0.007108055555555579,20,0.9687
801,3,0.005302722222222191,20,0.9462
801,5,0.005858944444444545,20,0.9531
851,0,0.005294555555555568,20,0.9856
801,8,0.005749333333333261,20,0.9354
851,4,0.005306999999999877,20,0.9694
851,3,0.005815999999999871,20,0.9476
851,5,0.005873222222222246,20,0.9539
901,0,0.005160611111111102,20,0.9855
851,8,0.008477777777777707,20,0.9351
901,4,0.007234666666666574,20,0.9699
901,3,0.007581833333333361,20,0.9486
901,5,0.007249055555555699,20,0.9549
951,0,0.005257500000000014,20,0.9859
951,4,0.005416166666666704,20,0.9702
901,8,0.006207499999999872,20,0.936
951,3,0.005628444444444399,20,0.9494
951,5,0.005368277777777782,20,0.9563
1001,0,0.005326277777777981,20,0.986
1001,4,0.00717172222222246,20,0.9705
951,8,0.008263555555555592,20,0.9357
1001,3,0.007047611111111173,20,0.9495
1001,5,0.0074024444444445135,20,0.9567
1001,8,0.007022555555555322,20,0.9362
