nodes, digits, seconds, instances, acc
101,3,0.00013599999999991397,2,0.9227
101,0,0.00013649999999998386,2,0.9769
101,4,0.0001396666666667231,3,0.9383
101,5,0.00014033333333340892,3,0.918
101,8,0.0001376666666665669,11,0.9094
151,3,0.00013760000000013762,5,0.9207
151,0,0.00013700000000005375,1,0.9766
151,5,0.00014300000000000423,2,0.9289
151,4,0.0001449999999998397,2,0.9545
151,8,0.00013449999999992635,4,0.9176
201,3,0.0001395999999999731,7,0.9212
201,0,0.00013599999999991397,1,0.9783
201,5,0.000140000000000029,5,0.9307
201,4,0.00014300000000000423,1,0.9538
201,8,0.0001395000000000146,10,0.9211
251,3,0.0001343333333333104,3,0.9272
251,0,0.0,0,0.9798
251,4,0.00014199999999986446,1,0.9585
251,5,0.00013833333333327738,3,0.934
251,8,0.00013759999999987115,7,0.9194
301,3,0.00013649999999998386,2,0.9341
301,0,0.0,0,0.9803
301,5,0.0001389999999998892,1,0.9324
301,4,0.00014350000000029617,2,0.9598
301,8,0.00013900000000011126,6,0.9199
351,3,0.0001340000000000785,1,0.936
351,0,0.000128000000000128,1,0.981
351,5,0.00013833333333342543,3,0.937
351,4,0.00014500000000006175,2,0.9615
351,8,0.00013625000000005993,4,0.9205
401,3,0.00014700000000011926,1,0.9362
401,5,0.00014083333333333078,6,0.9412
401,4,0.00014100000000016877,1,0.9614
401,0,0.00013766666666666558,3,0.9814
401,8,0.00014019999999996812,5,0.9196
451,3,0.0,0,0.9337
451,5,0.00013599999999991397,1,0.9429
451,0,0.0,0,0.9819
451,4,0.0,0,0.9625
451,8,0.00013500000000014425,6,0.9241
501,3,0.00013966666666664906,3,0.9367
501,5,0.0,0,0.9452
501,4,0.0001340000000000785,1,0.9642
501,0,0.00013799999999997148,2,0.9825
501,8,0.00013683333333328976,8,0.9255
551,3,0.0001365000000002059,2,0.9378
551,5,0.00013799999999974943,1,0.9469
551,4,0.00014599999999997948,1,0.962
551,0,0.0,0,0.9835
551,8,0.000136000000000136,4,0.9302
601,3,0.00013833333333342543,3,0.937
601,4,0.0,0,0.9642
601,0,0.0,0,0.9837
601,5,0.0001429999999997822,4,0.9489
601,8,0.000144000000000144,2,0.9332
651,3,0.00013100000000010326,1,0.9384
651,0,0.0,0,0.9838
651,4,0.00014100000000016877,1,0.9663
651,5,0.0,0,0.9503
651,8,0.00014139999999995823,5,0.9326
701,3,0.00014300000000000423,1,0.9396
701,5,0.0001509999999997902,1,0.9515
701,4,0.00014100000000016877,1,0.9676
701,0,0.0,0,0.9839
701,8,0.0001387500000000763,4,0.9342
751,3,0.00014133333333325263,3,0.943
751,5,0.0,0,0.9518
751,0,0.0,0,0.9839
751,4,0.00014300000000000423,1,0.9684
751,8,0.00013499999999999623,2,0.935
801,3,0.0,0,0.9462
801,0,0.0,0,0.9837
801,5,0.0,0,0.9531
801,4,0.0,0,0.9687
801,8,0.00013800000000001588,5,0.9354
851,3,0.0,0,0.9476
851,0,0.0,0,0.9856
851,4,0.0,0,0.9694
851,5,0.00014199999999986446,1,0.9539
851,8,0.00013780000000007675,5,0.9351
901,3,0.0001415000000000166,2,0.9486
901,4,0.0,0,0.9699
901,0,0.0,0,0.9855
901,5,0.0,0,0.9549
901,8,0.00013966666666664906,3,0.936
951,3,0.0001289999999998237,1,0.9494
951,0,0.0,0,0.9859
951,5,0.0,0,0.9563
951,4,0.0,0,0.9702
951,8,0.0,0,0.9357
1001,3,0.00014099999999994672,2,0.9495
1001,4,0.0,0,0.9705
1001,5,0.000144000000000144,1,0.9567
1001,0,0.0,0,0.986
1001,8,0.00013666666666667382,3,0.9362
