nodes, digits, seconds, instances, acc
101,0,0.0,0,0.9769
101,5,0.0,0,0.918
151,0,0.0,0,0.9766
201,0,0.0,0,0.9783
251,0,0.0,0,0.9798
301,0,0.0,0,0.9803
101,3,0.0,0,0.9227
101,8,0.0,0,0.9094
101,4,0.0,0,0.9383
151,5,0.0,0,0.9289
351,0,0.0,0,0.981
401,0,0.0,0,0.9814
201,5,0.0,0,0.9307
451,0,0.0,0,0.9819
501,0,0.0,0,0.9825
151,8,0.0,0,0.9176
551,0,0.0,0,0.9835
201,8,0.0,0,0.9211
151,3,0.0,0,0.9207
251,5,0.0,0,0.934
601,0,0.0,0,0.9837
651,0,0.0,0,0.9838
701,0,0.0,0,0.9839
251,8,0.0,0,0.9194
751,0,0.0,0,0.9839
151,4,0.0,0,0.9545
801,0,0.0,0,0.9837
301,5,0.0,0,0.9324
201,4,0.0,0,0.9538
851,0,0.0,0,0.9856
201,3,0.0,0,0.9212
301,8,0.0,0,0.9199
351,5,0.0,0,0.937
401,5,0.0,0,0.9412
901,0,0.0,0,0.9855
951,0,0.0,0,0.9859
251,4,0.0,0,0.9585
351,8,0.0,0,0.9205
251,3,0.0,0,0.9272
301,4,0.0,0,0.9598
451,5,0.0,0,0.9429
1001,0,0.0,0,0.986
351,4,0.0,0,0.9615
401,8,0.0,0,0.9196
501,5,0.0,0,0.9452
301,3,0.0,0,0.9341
451,8,0.0,0,0.9241
551,5,0.0,0,0.9469
401,4,0.0,0,0.9614
451,4,0.0,0,0.9625
501,4,0.0,0,0.9642
501,8,0.0,0,0.9255
351,3,0.0,0,0.936
601,5,0.0,0,0.9489
551,8,0.0,0,0.9302
551,4,0.0,0,0.962
601,8,0.0,0,0.9332
401,3,0.0,0,0.9362
651,8,0.0,0,0.9326
651,5,0.0,0,0.9503
451,3,0.0,0,0.9337
601,4,0.0,0,0.9642
701,5,0.0,0,0.9515
701,8,0.0,0,0.9342
651,4,0.0,0,0.9663
501,3,0.0,0,0.9367
701,4,0.0,0,0.9676
751,4,0.0,0,0.9684
751,8,0.0,0,0.935
551,3,0.0,0,0.9378
801,4,0.0,0,0.9687
801,8,0.0,0,0.9354
601,3,0.0,0,0.937
851,8,0.0,0,0.9351
851,4,0.0,0,0.9694
751,5,0.0,0,0.9518
651,3,0.0,0,0.9384
901,4,0.0,0,0.9699
901,8,0.0,0,0.936
951,4,0.0,0,0.9702
801,5,0.0,0,0.9531
701,3,0.0,0,0.9396
1001,4,0.0,0,0.9705
951,8,0.0,0,0.9357
751,3,0.0,0,0.943
851,5,0.0,0,0.9539
801,3,0.0,0,0.9462
1001,8,0.0,0,0.9362
851,3,0.0,0,0.9476
901,5,0.0,0,0.9549
951,5,0.0,0,0.9563
901,3,0.0,0,0.9486
1001,5,0.0,0,0.9567
951,3,0.0,0,0.9494
1001,3,0.0,0,0.9495
