nodes, digits, seconds, instances, acc
101,0,0.007623388888888866,20,0.9769
101,5,0.008171277777777732,20,0.918
151,0,0.006183111111111226,20,0.9766
201,0,0.005334499999999724,20,0.9783
251,0,0.0055240555555552285,20,0.9798
301,0,0.005509388888888683,20,0.9803
101,3,2.629575111111111,20,0.9227
101,8,1.8448673333333332,20,0.9094
101,4,3.791480111111111,20,0.9383
151,5,2.0132086666666664,20,0.9289
351,0,0.00764372222222202,20,0.981
401,0,0.005302444444444079,20,0.9814
201,5,0.006431444444444286,20,0.9307
451,0,0.008335166666666992,20,0.9819
501,0,0.005614222222222409,20,0.9825
151,8,2.7260743888888888,20,0.9176
551,0,0.006110888888889419,20,0.9835
201,8,0.00826183333333377,20,0.9211
151,3,11.796030555555555,20,0.9207
251,5,0.23220905555555482,20,0.934
601,0,0.00721472222222176,20,0.9837
651,0,0.007895611111110886,20,0.9838
701,0,0.007242944444444572,20,0.9839
251,8,2.0659381666666667,20,0.9194
751,0,0.005976888888889241,20,0.9839
151,4,12.9538525,20,0.9545
801,0,0.0059836666666662885,20,0.9837
301,5,11.344593833333334,20,0.9324
201,4,0.006034777777777241,20,0.9538
851,0,0.0060779999999998795,20,0.9856
201,3,12.122369888888889,20,0.9212
301,8,7.951866722222222,20,0.9199
351,5,4.452545666666667,20,0.937
401,5,0.005277611111111469,20,0.9412
901,0,2.6210792222222214,20,0.9855
951,0,0.005335055555556146,20,0.9859
251,4,3.5696595,20,0.9585
351,8,4.1761245,20,0.9205
251,3,3.5712488888888885,20,0.9272
301,4,0.006492666666666875,20,0.9598
451,5,3.5618292222222223,20,0.9429
1001,0,0.2878496111111109,20,0.986
351,4,4.284063611111112,20,0.9615
401,8,13.074938222222222,20,0.9196
501,5,5.777435666666666,20,0.9452
301,3,11.819824277777778,20,0.9341
451,8,2.614002888888889,20,0.9241
551,5,2.1729197777777767,20,0.9469
401,4,5.560905333333333,20,0.9614
451,4,0.0051377222222216785,20,0.9625
501,4,0.00520211111111182,20,0.9642
501,8,4.335290833333334,20,0.9255
351,3,8.732840055555554,20,0.936
601,5,10.057890611111112,20,0.9489
551,8,2.8367535555555565,20,0.9302
551,4,11.766029388888889,20,0.962
601,8,6.062119611111108,20,0.9332
401,3,10.119025222222222,20,0.9362
651,8,8.121771944444443,20,0.9326
651,5,20.26051238888889,20,0.9503
451,3,10.5001205,20,0.9337
601,4,22.926320222222223,20,0.9642
701,5,9.615389388888888,20,0.9515
701,8,19.59023888888889,20,0.9342
651,4,7.003875666666667,20,0.9663
501,3,15.32469077777778,20,0.9367
701,4,0.00585616666667003,20,0.9676
751,4,0.005351833333331039,20,0.9684
751,8,3.728039777777779,20,0.935
551,3,4.437797444444446,20,0.9378
801,4,3.8424770000000006,20,0.9687
801,8,2.949460166666662,20,0.9354
601,3,2.285275277777777,20,0.937
851,8,2.787204888888894,20,0.9351
851,4,5.784385444444444,20,0.9694
751,5,10.773202388888889,20,0.9518
651,3,14.615706277777775,20,0.9384
901,4,11.713720944444445,20,0.9699
901,8,12.452634388888889,20,0.936
951,4,0.00786261111111407,20,0.9702
801,5,19.058825666666664,20,0.9531
701,3,9.231198388888892,20,0.9396
1001,4,2.1802100555555577,20,0.9705
951,8,5.898808277777778,20,0.9357
751,3,5.384305222222222,20,0.943
851,5,7.220791722222221,20,0.9539
801,3,7.110001944444444,20,0.9462
1001,8,3.7135491666666667,20,0.9362
851,3,3.445164944444441,20,0.9476
901,5,12.591782388888888,20,0.9549
951,5,0.007175166666669952,20,0.9563
901,3,7.996368333333336,20,0.9486
1001,5,6.8255456666666685,20,0.9567
951,3,12.690937222222225,20,0.9494
1001,3,5.7570072222222235,20,0.9495
