nodes, dimension, seconds, instances
101,50,0.0,0
151,50,0.0,0
201,50,0.0,0
251,50,0.0,0
301,50,0.0,0
351,50,0.0,0
401,50,0.0,0
451,50,0.0,0
501,50,0.0,0
551,50,0.0,0
601,50,0.0,0
651,50,0.0,0
701,50,0.0,0
751,50,0.0,0
801,50,0.0,0
851,50,0.0,0
901,50,0.0,0
951,50,0.0,0
1001,50,0.0,0
1051,50,0.0,0
1101,50,0.0,0
1151,50,0.0,0
1201,50,0.0,0
1251,50,0.0,0
1301,50,0.0,0
1351,50,0.0,0
1401,50,0.0,0
1451,50,0.0,0
1501,50,0.0,0
1551,50,0.0,0
1601,50,0.0,0
1651,50,0.0,0
1701,50,0.0,0
1751,50,0.0,0
1801,50,0.0,0
1851,50,0.0,0
1901,50,0.0,0
1951,50,0.0,0
2001,50,0.0,0
2051,50,0.0,0
2101,50,0.0,0
2151,50,0.0,0
2201,50,0.0,0
2251,50,0.0,0
2301,50,0.0,0
2351,50,0.0,0
2401,50,0.0,0
2451,50,0.0,0
2501,50,0.0,0
101,100,0.0,0
151,100,0.0,0
201,100,0.0,0
251,100,0.0,0
301,100,0.0,0
351,100,0.0,0
401,100,0.0,0
451,100,0.0,0
501,100,0.0,0
551,100,0.0,0
601,100,0.0,0
651,100,0.0,0
701,100,0.0,0
751,100,0.0,0
801,100,0.0,0
851,100,0.0,0
901,100,0.0,0
951,100,0.0,0
1001,100,0.0,0
1051,100,0.0,0
1101,100,0.0,0
1151,100,0.0,0
1201,100,0.0,0
1251,100,0.0,0
1301,100,0.0,0
1351,100,1.002617999999984,1
1401,100,0.0,0
1451,100,0.0,0
1501,100,0.0,0
1551,100,0.0,0
1601,100,0.0,0
1651,100,0.0,0
1701,100,0.0,0
1751,100,0.0,0
1801,100,0.0,0
1851,100,0.0,0
1901,100,0.0,0
1951,100,0.0,0
2001,100,0.0,0
2051,100,0.0,0
2101,100,0.0,0
2151,100,0.0,0
2201,100,0.0,0
2251,100,0.0,0
2301,100,0.0,0
2351,100,0.0,0
2401,100,0.0,0
2451,100,0.0,0
2501,100,0.0,0
101,150,0.0,0
151,150,0.0,0
201,150,0.0,0
251,150,0.0,0
301,150,0.0,0
351,150,0.0,0
401,150,0.0,0
451,150,0.0,0
501,150,0.0,0
551,150,0.0,0
601,150,0.0,0
651,150,0.0,0
701,150,0.0,0
751,150,0.0,0
801,150,0.0,0
851,150,0.0,0
901,150,0.0,0
951,150,0.0,0
1001,150,0.0,0
1051,150,0.0,0
1101,150,0.0,0
1151,150,0.0,0
1201,150,0.0,0
1251,150,0.0,0
1301,150,1.075782999999774,1
1351,150,0.0,0
1401,150,0.0,0
1451,150,0.0,0
1501,150,0.0,0
1551,150,0.0,0
1601,150,0.0,0
1651,150,0.0,0
1701,150,0.0,0
1751,150,0.0,0
1801,150,0.0,0
1851,150,0.0,0
1901,150,0.0,0
1951,150,0.0,0
2001,150,0.0,0
2051,150,0.0,0
2101,150,0.0,0
2151,150,0.0,0
2201,150,0.0,0
2251,150,0.0,0
2301,150,0.0,0
2351,150,0.0,0
2401,150,0.0,0
2451,150,0.0,0
2501,150,0.0,0
101,200,0.0,0
151,200,0.0,0
201,200,0.0,0
251,200,0.0,0
301,200,0.0,0
351,200,0.0,0
401,200,0.0,0
451,200,0.0,0
501,200,0.0,0
551,200,0.0,0
601,200,0.0,0
651,200,0.0,0
701,200,0.0,0
751,200,0.0,0
801,200,0.0,0
851,200,0.0,0
901,200,0.0,0
951,200,0.0,0
1001,200,0.0,0
1051,200,0.0,0
1101,200,0.0,0
1151,200,0.0,0
1201,200,0.0,0
1251,200,0.0,0
1301,200,0.0,0
1351,200,0.0,0
1401,200,0.0,0
1451,200,0.0,0
1501,200,0.0,0
1551,200,0.0,0
1601,200,0.0,0
1651,200,0.0,0
1701,200,0.0,0
1751,200,0.0,0
1801,200,0.0,0
1851,200,0.0,0
1901,200,0.0,0
1951,200,0.0,0
2001,200,0.0,0
2051,200,0.0,0
2101,200,0.0,0
2151,200,0.0,0
2201,200,0.0,0
2251,200,0.0,0
2301,200,0.0,0
2351,200,0.0,0
2401,200,0.0,0
2451,200,0.0,0
2501,200,0.0,0
101,250,0.0,0
151,250,0.0,0
201,250,0.0,0
251,250,0.0,0
301,250,0.0,0
351,250,0.0,0
401,250,0.0,0
451,250,0.0,0
501,250,0.0,0
551,250,0.0,0
601,250,0.0,0
651,250,0.0,0
701,250,0.0,0
751,250,0.0,0
801,250,0.0,0
851,250,0.0,0
901,250,0.0,0
951,250,0.0,0
1001,250,0.0,0
1051,250,0.0,0
1101,250,0.0,0
1151,250,0.0,0
1201,250,0.0,0
1251,250,0.0,0
1301,250,0.0,0
1351,250,0.0,0
1401,250,0.0,0
1451,250,0.0,0
1501,250,0.0,0
1551,250,0.0,0
1601,250,0.0,0
1651,250,0.0,0
1701,250,0.0,0
1751,250,0.0,0
1801,250,0.0,0
1851,250,0.0,0
1901,250,0.0,0
1951,250,0.0,0
2001,250,0.0,0
2051,250,0.0,0
2101,250,0.0,0
2151,250,0.0,0
2201,250,0.0,0
2251,250,0.0,0
2301,250,0.0,0
2351,250,0.0,0
2401,250,0.0,0
2451,250,0.0,0
2501,250,5.114838999999847,1
