nodes, dimension, seconds, instances
101,50,0.005228692307692466,15
151,50,0.008632230769230876,15
201,50,0.01371146153846141,15
251,50,0.017181230769230692,15
301,50,0.026021000000000277,15
351,50,0.034745538461538564,15
401,50,0.0466126923076924,15
451,50,0.05811376923076918,15
501,50,0.07457407692307659,15
551,50,0.09226238461538458,15
601,50,0.11474992307692339,15
651,50,0.12257499999999985,15
701,50,0.1356749999999998,15
751,50,0.16368600000000008,15
801,50,0.18936246153846198,15
851,50,0.21064430769230788,15
901,50,0.24246638461538503,15
951,50,0.2665503076923081,15
1001,50,0.2906198461538452,15
1051,50,0.3347473076923087,15
1101,50,0.35119215384615315,15
1151,50,0.39410623076922985,15
1201,50,0.4359201538461537,15
1251,50,0.4665827692307698,15
1301,50,0.49096099999999976,15
1351,50,0.5552166153846131,15
1401,50,0.6011945384615405,15
1451,50,0.6251501538461519,15
1501,50,0.6601685384615391,15
1551,50,0.7119109230769239,15
1601,50,0.7587109999999954,15
1651,50,0.7798340769230772,15
1701,50,0.8733863076923066,15
1751,50,0.8817195384615388,15
1801,50,0.9472322307692331,15
1851,50,1.007379230769227,15
1901,50,1.0489376923076965,15
1951,50,1.1230649230769223,15
2001,50,1.207026692307682,15
2051,50,1.2124850000000065,15
2101,50,1.286153846153844,15
2151,50,1.3466061538461576,15
2201,50,1.4095900769230876,15
2251,50,1.4980433076922937,15
2301,50,1.5563576153846095,15
2351,50,1.615946307692315,15
2401,50,1.6842600769230716,15
2451,50,1.7628943076923196,15
2501,50,1.839579153846142,15
101,100,0.009010076923074779,15
151,100,0.015292846153858345,15
201,100,0.02035353846155903,15
251,100,0.031124230769215992,15
301,100,0.04088692307692554,15
351,100,0.05197492307691549,15
401,100,0.07547746153846902,15
451,100,0.07931476923077806,15
501,100,0.10763484615383644,15
551,100,0.11667246153847198,15
601,100,0.13991861538462794,15
651,100,0.15960484615382817,15
701,100,0.19328738461540348,15
751,100,0.21133776923076433,15
801,100,0.22861753846153585,15
851,100,0.2629173846153907,15
901,100,0.29771330769230314,15
951,100,0.3250238461538227,15
1001,100,0.36700461538464424,15
1051,100,0.4151113076923051,15
1101,100,0.45918653846155605,15
1151,100,0.4638823846153785,15
1201,100,0.5043823846154003,15
1251,100,0.5835635384615636,15
1301,100,0.6009576923076583,15
