nodes, dimension, seconds, instances
101,50,0.0026157692307692015,15
151,50,0.002904538461538281,15
201,50,0.003309615384615255,15
251,50,0.003847230769230701,15
301,50,0.004113076923076711,15
351,50,0.0043733076923074396,15
401,50,0.004708076923077005,15
451,50,0.005286461538461573,15
501,50,0.005518769230769353,15
551,50,0.005919076923076839,15
601,50,0.006249307692307582,15
651,50,0.006770923076923046,15
701,50,0.006989000000000049,15
751,50,0.0074296923076923975,15
801,50,0.00790215384615391,15
851,50,0.007972153846153787,15
901,50,0.008378999999999966,15
951,50,0.008825230769230594,15
1001,50,0.011083230769230772,15
1051,50,0.00949615384615392,15
1101,50,0.009770076923077024,15
1151,50,0.012012538461538278,15
1201,50,0.012405692307692352,15
1251,50,0.011027461538461809,15
1301,50,0.011078538461538629,15
1351,50,0.013342000000000017,15
1401,50,0.01407369230769239,15
1451,50,0.013986307692307857,15
1501,50,0.014391384615384695,15
1551,50,0.016772307692307573,15
1601,50,0.015235538461538339,15
1651,50,0.018294923076922896,15
1701,50,0.01412146153846167,15
1751,50,0.01851792307692298,15
1801,50,0.018618923076922547,15
1851,50,0.021884307692307477,15
1901,50,0.019813153846153744,15
1951,50,0.02030430769230799,15
2001,50,0.020171153846153908,15
2051,50,0.02069784615384612,15
2101,50,0.02108553846153864,15
2151,50,0.02130553846153851,15
2201,50,0.023639923076922507,15
2251,50,0.024382384615383976,15
2301,50,0.022513999999999666,15
2351,50,0.0246112307692298,15
2401,50,0.0232016153846149,15
2451,50,0.02329084615384639,15
2501,50,0.025887384615384798,15
101,100,0.003281615384615304,15
151,100,0.003492615384616307,15
201,100,0.0038347692307682405,15
251,100,0.0042756153846144574,15
301,100,0.004598846153847365,15
351,100,0.005064307692308308,15
401,100,0.005167538461538339,15
451,100,0.005547230769232341,15
501,100,0.00597769230769174,15
551,100,0.006399384615384918,15
601,100,0.0067933846153841035,15
651,100,0.007225384615384365,15
701,100,0.007751307692308055,15
751,100,0.009704923076922474,15
801,100,0.00816115384615438,15
851,100,0.010577692307692498,15
901,100,0.008921461538461765,15
951,100,0.011657076923076314,15
1001,100,0.01162900000000059,15
1051,100,0.010076000000000435,15
1101,100,0.012199923076923259,15
1151,100,0.012725846153846403,15
1201,100,0.013084615384616317,15
1251,100,0.013836000000001018,15
1301,100,0.014041000000000227,15
1351,100,0.016732923076922646,15
1401,100,0.012622769230769283,15
1451,100,0.014823538461538003,15
1501,100,0.013364384615385916,15
1551,100,0.015697076923076408,15
1601,100,0.01603246153846336,15
1651,100,0.016436153846154156,15
1701,100,0.016772923076922224,15
1751,100,0.015143461538461732,15
1801,100,0.019211461538461913,15
1851,100,0.01951599999999997,15
1901,100,0.02200884615384606,15
1951,100,0.02073007692307791,15
2001,100,0.020841230769230962,15
2051,100,0.019306769230768375,15
2101,100,0.024188538461538053,15
2151,100,0.024125923076923347,15
2201,100,0.022590846153847204,15
2251,100,0.02502453846153685,15
2301,100,0.024863000000000676,15
2351,100,0.023769461538459123,15
2401,100,0.02561169230769331,15
2451,100,0.023586384615382573,15
2501,100,0.02612107692307848,15
101,150,0.0035986153846154093,15
151,150,0.003991538461537931,15
201,150,0.004273461538460857,15
251,150,0.004658999999998825,15
301,150,0.005172153846152456,15
351,150,0.005502000000000989,15
401,150,0.005756230769233748,15
451,150,0.006164692307692121,15
501,150,0.006710538461538599,15
551,150,0.006945615384615586,15
601,150,0.007436615384613368,15
651,150,0.0075429999999988475,15
701,150,0.01016230769230803,15
751,150,0.0084118461538475,15
801,150,0.010716000000000529,15
851,150,0.00923300000000073,15
901,150,0.01177176923076928,15
951,150,0.009868692307692255,15
1001,150,0.0123959230769236,15
1051,150,0.012742307692306007,15
1101,150,0.012920846153847903,15
1151,150,0.01368699999999898,15
1201,150,0.01360015384615237,15
1251,150,0.014056000000000889,15
1301,150,0.014336615384614504,15
1351,150,0.014475615384616648,15
1401,150,0.015000307692307483,15
1451,150,0.015566076923077023,15
1501,150,0.016011846153846186,15
1551,150,0.017842076923076232,15
1601,150,0.01865023076922949,15
1651,150,0.01700153846153923,15
1701,150,0.01940238461538312,15
1751,150,0.021400769230769338,15
1801,150,0.01992730769230742,15
1851,150,0.020246769230769138,15
1901,150,0.018893076923077408,15
1951,150,0.021135384615385205,15
2001,150,0.023907923076925804,15
2051,150,0.021692307692306328,15
2101,150,0.02421061538461526,15
2151,150,0.022706538461538736,15
2201,150,0.02540492307692305,15
2251,150,0.023189307692309587,15
2301,150,0.023210000000001577,15
2351,150,0.025793384615383823,15
2401,150,0.02616407692307759,15
2451,150,0.024467153846156994,15
2501,150,0.02944984615384582,15
101,200,0.004014307692307066,15
151,200,0.004464153846155428,15
201,200,0.004809230769231258,15
251,200,0.005241923076923172,15
301,200,0.005762307692308993,15
351,200,0.006301153846152374,15
401,200,0.006388230769231357,15
451,200,0.006751307692307653,15
501,200,0.007194538461539297,15
551,200,0.007514000000000465,15
601,200,0.007854230769229805,15
651,200,0.008084076923076658,15
701,200,0.00865376923076702,15
751,200,0.009169846153844,15
801,200,0.01221553846153748,15
851,200,0.012608923076923654,15
901,200,0.01188730769230845,15
951,200,0.012513769230768464,15
1001,200,0.011239923076922982,15
1051,200,0.011204846153847169,15
1101,200,0.013411692307691134,15
1151,200,0.012165769230768193,15
1201,200,0.014028769230770548,15
