nodes, dimension, seconds, instances
101,50,0.007699615384615559,15
151,50,0.009727846153846023,15
201,50,0.008249615384615301,15
251,50,0.010436923076922993,15
301,50,0.009063999999999859,15
351,50,0.011033923076922815,15
401,50,0.01133053846153853,15
451,50,0.010202538461538683,15
501,50,0.0124633846153848,15
551,50,0.012462846153846262,15
601,50,0.01301561538461535,15
651,50,0.013305999999999903,15
701,50,0.013556615384615474,15
751,50,0.015615153846153973,15
801,50,0.014519230769230954,15
851,50,0.017000153846153738,15
901,50,0.015268230769230503,15
951,50,0.017518384615384866,15
1001,50,0.017932307692307522,15
1051,50,0.016806846153846422,15
1101,50,0.016888846153845585,15
1151,50,0.017193923076923065,15
1201,50,0.021389307692307905,15
1251,50,0.017682923076923436,15
1301,50,0.02011800000000008,15
1351,50,0.020516692307692024,15
1401,50,0.022885307692307812,15
1451,50,0.01906192307692291,15
1501,50,0.021848000000000176,15
1551,50,0.02164638461538428,15
1601,50,0.02396461538461572,15
1651,50,0.02468207692307718,15
1701,50,0.024793538461538242,15
1751,50,0.025160076923076355,15
1801,50,0.025548000000000844,15
1851,50,0.024053538461539202,15
1901,50,0.024477076923075512,15
1951,50,0.028807538461539488,15
2001,50,0.027197076923076935,15
2051,50,0.0276233076923075,15
2101,50,0.027798461538461574,15
2151,50,0.030061230769230625,15
2201,50,0.030841769230768534,15
2251,50,0.03137446153846131,15
2301,50,0.03115730769230806,15
2351,50,0.031607230769229874,15
2401,50,0.030427153846152997,15
2451,50,0.03245792307692433,15
2501,50,0.03105776923077003,15
101,100,0.0329348461538452,15
151,100,0.03302438461538497,15
201,100,0.031492230769230536,15
251,100,0.03377084615384591,15
301,100,0.034734999999999655,15
351,100,0.03506692307692369,15
401,100,0.034705384615385526,15
451,100,0.035243307692307886,15
501,100,0.033542692307691184,15
551,100,0.035899153846152936,15
601,100,0.03871915384615658,15
651,100,0.03702576923076934,15
701,100,0.039047307692311066,15
751,100,0.03711007692307679,15
801,100,0.036099769230767936,15
851,100,0.03993723076923098,15
901,100,0.041466846153847076,15
951,100,0.04130700000000113,15
1001,100,0.043238000000001234,15
1051,100,0.04337084615384704,15
1101,100,0.0430347692307687,15
1151,100,0.044970307692307844,15
1201,100,0.04079869230769289,15
1251,100,0.0393165384615382,15
1301,100,0.04426053846153731,15
1351,100,0.04579007692307668,15
1401,100,0.04523869230769096,15
1451,100,0.046966384615384,15
1501,100,0.0472709230769226,15
1551,100,0.04746676923076839,15
1601,100,0.04827384615384471,15
1651,100,0.04999646153846216,15
1701,100,0.04661907692307757,15
1751,100,0.04844669230769282,15
1801,100,0.05096684615384653,15
1851,100,0.04958238461538455,15
1901,100,0.052067076923076064,15
1951,100,0.05226376923076806,15
2001,100,0.048977307692307084,15
