nodes, dimension, seconds, instances
101,50,0.013782307692307833,15
151,50,0.015777000000000065,15
201,50,0.01423207692307694,15
251,50,0.01482653846153856,15
301,50,0.01513353846153843,15
351,50,0.017236615384615604,15
401,50,0.017743230769230883,15
451,50,0.017988153846154036,15
501,50,0.018534384615384633,15
551,50,0.01696569230769244,15
601,50,0.019029307692307748,15
651,50,0.019520307692306896,15
701,50,0.022046769230768495,15
751,50,0.020525307692307794,15
801,50,0.02090669230769229,15
851,50,0.02328200000000016,15
901,50,0.022532538461538465,15
951,50,0.02178169230769223,15
1001,50,0.02243130769230803,15
1051,50,0.02468576923076946,15
1101,50,0.024838000000000256,15
1151,50,0.02526669230769257,15
1201,50,0.025755384615384385,15
1251,50,0.026022999999999942,15
1301,50,0.028202153846154425,15
1351,50,0.026638384615385036,15
1401,50,0.02728961538461487,15
1451,50,0.02797769230769239,15
1501,50,0.027768307692307887,15
1551,50,0.027999538461538867,15
1601,50,0.028351615384614785,15
1651,50,0.030842615384616377,15
1701,50,0.029132384615383974,15
1751,50,0.02582846153846182,15
1801,50,0.030160307692306914,15
1851,50,0.032797384615383646,15
1901,50,0.030924769230769138,15
1951,50,0.03559607692307792,15
2001,50,0.03392484615384625,15
2051,50,0.036216153846153315,15
2101,50,0.03412646153846065,15
2151,50,0.03472253846153869,15
2201,50,0.037069769230769205,15
2251,50,0.03561861538461496,15
2301,50,0.03767523076923086,15
2351,50,0.03629023076923014,15
2401,50,0.03653846153846301,15
2451,50,0.03890146153846366,15
2501,50,0.04082261538461624,15
101,100,0.056402076923076874,15
151,100,0.05906630769230722,15
201,100,0.05891969230769307,15
251,100,0.05944153846153728,15
301,100,0.060665999999997666,15
351,100,0.06317561538461383,15
401,100,0.06037976923076863,15
451,100,0.06207892307692475,15
501,100,0.061956538461538674,15
551,100,0.05692223076922978,15
601,100,0.06327100000000084,15
651,100,0.06255238461538462,15
701,100,0.06477507692307682,15
751,100,0.06503315384615259,15
801,100,0.06622069230769075,15
851,100,0.06662123076923074,15
901,100,0.06449915384615405,15
951,100,0.06690553846153992,15
1001,100,0.06719046153846182,15
1051,100,0.06545161538461632,15
1101,100,0.07062169230769272,15
1151,100,0.068642461538459,15
1201,100,0.07206146153846213,15
1251,100,0.06766369230769097,15
1301,100,0.06995084615384319,15
1351,100,0.06958238461538932,15
1401,100,0.07025069230768767,15
1451,100,0.07268407692307968,15
1501,100,0.072426076923073,15
1551,100,0.07555315384615496,15
1601,100,0.07378230769230662,15
1651,100,0.07137976923076704,15
1701,100,0.07526538461538533,15
1751,100,0.07475661538461399,15
1801,100,0.07421792307692189,15
1851,100,0.07867053846153957,15
1901,100,0.07940684615384332,15
1951,100,0.0765502307692353,15
2001,100,0.07916299999999847,15
2051,100,0.08029046153846545,15
2101,100,0.07816553846153997,15
2151,100,0.08022276923076915,15
2201,100,0.08298892307692321,15
2251,100,0.08346769230769378,15
2301,100,0.08030969230769248,15
2351,100,0.085262076923078,15
2401,100,0.08482892307692352,15
2451,100,0.08343438461538491,15
2501,100,0.08514161538461451,15
101,150,0.12661615384615962,15
151,150,0.13046584615384604,15
201,150,0.12827169230768967,15
251,150,0.12861769230768955,15
301,150,0.12644153846153472,15
351,150,0.12700630769230786,15
401,150,0.12726915384615614,15
451,150,0.126817153846155,15
501,150,0.13165992307691873,15
551,150,0.12950392307691827,15
601,150,0.13291184615384458,15
651,150,0.12895338461538366,15
701,150,0.13060015384615353,15
751,150,0.1323435384615397,15
801,150,0.13318407692307452,15
851,150,0.13301023076922347,15
901,150,0.13289399999999757,15
951,150,0.13681915384615614,15
1001,150,0.137520384615383,15
1051,150,0.13641215384615835,15
1101,150,0.13777676923076962,15
1151,150,0.13644676923076943,15
1201,150,0.13725515384615505,15
1251,150,0.13765653846153633,15
1301,150,0.14057976923077412,15
1351,150,0.13694415384616193,15
1401,150,0.13939630769230751,15
1451,150,0.14046638461538719,15
1501,150,0.13999792307692124,15
1551,150,0.14073184615384968,15
1601,150,0.13476507692307285,15
1651,150,0.14511861538461693,15
1701,150,0.14453069230768933,15
1751,150,0.14270861538461715,15
1801,150,0.1448180769230764,15
1851,150,0.14539669230769356,15
1901,150,0.14218992307692482,15
1951,150,0.1464261538461489,15
2001,150,0.14672799999999597,15
2051,150,0.14956153846154271,15
2101,150,0.146401384615381,15
2151,150,0.14998669230769443,15
2201,150,0.1460849230769226,15
2251,150,0.1515431538461572,15
2301,150,0.14907338461537514,15
2351,150,0.14741076923077293,15
2401,150,0.15386084615384624,15
2451,150,0.15244807692306495,15
2501,150,0.15071546153846455,15
101,200,0.2247040769230641,15
