nodes, dimension, seconds, instances
101,50,0.007327538461538415,15
151,50,0.009532538461538632,15
201,50,0.00784861538461541,15
251,50,0.00828176923076927,15
301,50,0.01045207692307684,15
351,50,0.010990538461538558,15
401,50,0.00938584615384618,15
451,50,0.01152376923076905,15
501,50,0.011893076923076848,15
551,50,0.01226769230769226,15
601,50,0.01264938461538463,15
651,50,0.013013461538461408,15
701,50,0.013451000000000426,15
751,50,0.013823538461538285,15
801,50,0.016211461538461664,15
851,50,0.014568000000000034,15
901,50,0.01486861538461508,15
951,50,0.017253461538461242,15
1001,50,0.013751846153846068,15
1051,50,0.017983384615384068,15
1101,50,0.018362846153846382,15
1151,50,0.01860623076923072,15
1201,50,0.019122307692307564,15
1251,50,0.017354307692307894,15
1301,50,0.019650000000000254,15
1351,50,0.02015369230769246,15
1401,50,0.022876384615384857,15
1451,50,0.021110692307692247,15
1501,50,0.02309984615384586,15
1551,50,0.019811615384615067,15
1601,50,0.02427476923076865,15
1651,50,0.02603892307692326,15
1701,50,0.022886384615385023,15
1751,50,0.02356092307692301,15
1801,50,0.02537061538461562,15
1851,50,0.02564361538461586,15
1901,50,0.028081999999999906,15
1951,50,0.026617615384616045,15
2001,50,0.02685569230769147,15
2051,50,0.029391769230769863,15
2101,50,0.023675692307692158,15
2151,50,0.030061307692308994,15
2201,50,0.02858192307692283,15
2251,50,0.030752461538461135,15
2301,50,0.03156130769230659,15
2351,50,0.029561384615384975,15
2401,50,0.02615323076923122,15
2451,50,0.030792153846154344,15
2501,50,0.03507184615384636,15
101,100,0.02971161538461495,15
151,100,0.032058692307692545,15
201,100,0.03052561538461518,15
251,100,0.0325963076923069,15
301,100,0.03286246153846133,15
351,100,0.03344615384615679,15
401,100,0.033601307692309165,15
451,100,0.033870692307690846,15
501,100,0.034160846153845625,15
551,100,0.03439438461538476,15
601,100,0.034779615384614715,15
651,100,0.03553907692307617,15
701,100,0.037611923076923404,15
751,100,0.03825600000000078,15
801,100,0.034291846153845555,15
851,100,0.038498923076922154,15
901,100,0.03927269230769289,15
951,100,0.04021484615384616,15
1001,100,0.04023407692307538,15
1051,100,0.04106838461538313,15
1101,100,0.03893230769230955,15
1151,100,0.04257330769230695,15
1201,100,0.0419100000000009,15
1251,100,0.042283923076923295,15
1301,100,0.03824353846153737,15
1351,100,0.036674076923078974,15
1401,100,0.04389169230769159,15
1451,100,0.04498184615384778,15
1501,100,0.043936615384616025,15
1551,100,0.04648138461538309,15
1601,100,0.046728769230771135,15
1651,100,0.047312461538460034,15
1701,100,0.043190230769230724,15
1751,100,0.047898307692307185,15
1801,100,0.05029300000000019,15
1851,100,0.04904076923076799,15
1901,100,0.049196384615384565,15
1951,100,0.04928023076923274,15
2001,100,0.04977761538461651,15
2051,100,0.05219776923077181,15
2101,100,0.05069923076923015,15
2151,100,0.05299246153846035,15
2201,100,0.05572176923076947,15
2251,100,0.05435784615384547,15
2301,100,0.05657476923077262,15
2351,100,0.05425800000000217,15
2401,100,0.05680400000000073,15
2451,100,0.05500807692308193,15
2501,100,0.05776538461538376,15
101,150,0.0710649999999989,15
151,150,0.06929169230768978,15
201,150,0.07191261538461574,15
251,150,0.0722240769230725,15
301,150,0.07054169230769301,15
351,150,0.07283653846154109,15
401,150,0.07348161538461485,15
451,150,0.07350392307692416,15
501,150,0.07613415384615617,15
551,150,0.07248130769230862,15
601,150,0.07449576923076726,15
651,150,0.07529215384615257,15
701,150,0.07705869230768879,15
751,150,0.07589130769230223,15
801,150,0.07848669230769517,15
851,150,0.0761937692307697,15
901,150,0.0793804615384652,15
951,150,0.07974753846154013,15
1001,150,0.08089576923076655,15
1051,150,0.08015876923076895,15
1101,150,0.08021123076922922,15
1151,150,0.08218223076922672,15
1201,150,0.08149523076923078,15
1251,150,0.08394515384615012,15
1301,150,0.08124153846154168,15
1351,150,0.08184369230769033,15
1401,150,0.08267453846153763,15
1451,150,0.06012138461538431,15
1501,150,0.08767846153846265,15
1551,150,0.07662392307691973,15
1601,150,0.07869361538460741,15
1651,150,0.07623361538461801,15
1701,150,0.07938553846153695,15
1751,150,0.08225969230768836,15
1801,150,0.07949584615384599,15
1851,150,0.08328030769230238,15
1901,150,0.09007769230769415,15
1951,150,0.0902891538461465,15
2001,150,0.09094176923076046,15
2051,150,0.08964423076923166,15
2101,150,0.09128615384614792,15
2151,150,0.09182276923077272,15
2201,150,0.09107115384615948,15
2251,150,0.09133523076922774,15
2301,150,0.09255484615383999,15
2351,150,0.09263369230769697,15
2401,150,0.09174023076923277,15
2451,150,0.09115769230769807,15
2501,150,0.09334023076923997,15
101,200,0.1195632307692318,15
151,200,0.11844353846154394,15
201,200,0.12040992307693116,15
251,200,0.12266269230769702,15
301,200,0.12136623076922057,15
351,200,0.12005569230768523,15
401,200,0.12092215384615201,15
