nodes, dimension, seconds, instances
101,50,0.0,0
151,50,0.0,0
201,50,0.0,0
251,50,0.01928500000000027,15
301,50,0.024204384615384714,15
351,50,0.032282538461538494,15
401,50,0.03982169230769222,15
451,50,0.04436546153846139,15
501,50,0.05670892307692267,15
551,50,0.0660736153846154,15
601,50,0.08037969230769217,15
651,50,0.09383230769230785,15
701,50,0.10361984615384606,15
751,50,0.12006769230769293,15
801,50,0.1338324615384621,15
851,50,0.15316876923076897,15
901,50,0.17138315384615382,15
951,50,0.18759223076923048,15
1001,50,0.2101132307692305,15
1051,50,0.23472592307692308,15
1101,50,0.2492276153846153,15
1151,50,0.2781476923076947,15
1201,50,0.2996697692307699,15
1251,50,0.32511938461538503,15
1301,50,0.3470619230769233,15
1351,50,0.3853193846153846,15
1401,50,0.4201129230769239,15
1451,50,0.43913015384615706,15
1501,50,0.4670387692307685,15
1551,50,0.5055057692307722,15
1601,50,0.5363691538461524,15
1651,50,0.5556206153846174,15
1701,50,0.6069582307692317,15
1751,50,0.637187153846154,15
1801,50,0.659152461538462,15
1851,50,0.7056534615384595,15
1901,50,0.7294986153846161,15
1951,50,0.7816739999999964,15
2001,50,0.8317616153846162,15
2051,50,0.8500119230769244,15
2101,50,0.9020888461538513,15
2151,50,0.9425841538461379,15
2201,50,0.9727089230769322,15
2251,50,1.0395929999999987,15
2301,50,1.0789334615384623,15
2351,50,1.1152309999999988,15
2401,50,1.167893615384641,15
2451,50,1.2338989230769182,15
2501,50,1.264270769230804,15
101,100,0.0,0
151,100,0.0,0
201,100,0.0,0
251,100,0.0,0
301,100,0.0,0
351,100,0.0,0
401,100,0.0,0
451,100,0.0,0
501,100,0.0,0
551,100,0.0,0
601,100,0.0,0
651,100,0.0,0
701,100,0.17280861538461506,15
751,100,0.1922101538461465,15
801,100,0.2137791538461635,15
851,100,0.24023246153846528,15
901,100,0.2598206153846132,15
951,100,0.2864375384615458,15
1001,100,0.3111630769230854,15
1051,100,0.3409344615384515,15
1101,100,0.37124415384614795,15
1151,100,0.40024584615383674,15
1201,100,0.43091053846155514,15
1251,100,0.4734489230769353,15
1301,100,0.5085909230769167,15
1351,100,0.543936769230763,15
1401,100,0.5857144615384519,15
1451,100,0.620853307692318,15
1501,100,0.6630485384615667,15
1551,100,0.708515076923102,15
1601,100,0.7554113076923141,15
1651,100,0.8013671538461634,15
1701,100,0.8452194615384594,15
1751,100,0.8933703076922851,15
1801,100,0.934704692307675,15
1851,100,0.9977775384615353,15
1901,100,1.0408501538461399,15
1951,100,1.095899230769244,15
2001,100,1.1463295384615129,15
2051,100,1.204043538461528,15
2101,100,1.2834233846153806,15
2151,100,1.3326443076923011,15
2201,100,1.3887295384615317,15
2251,100,1.452766846153841,15
2301,100,1.5000085384615518,15
2351,100,1.5762144615384754,15
2401,100,1.6391713846153642,15
2451,100,1.721540307692294,15
2501,100,1.765867692307683,15
101,150,0.0,0
151,150,0.0,0
201,150,0.0,0
251,150,0.0,0
301,150,0.0,0
351,150,0.0,0
401,150,0.0,0
451,150,0.0,0
501,150,0.0,0
551,150,0.0,0
601,150,0.0,0
651,150,0.0,0
701,150,0.0,0
751,150,0.0,0
801,150,0.0,0
851,150,0.0,0
901,150,0.36892946153850165,15
951,150,0.4050137692308034,15
1001,150,0.4427422307692443,15
1051,150,0.48163176923076906,15
1101,150,0.513416230769298,15
1151,150,0.5590035384614986,15
1201,150,0.6009130000000263,15
1251,150,0.6459373076923455,15
1301,150,0.6905900769231371,15
1351,150,0.7382474615384091,15
1401,150,0.7922255384614976,15
1451,150,0.8447403076923435,15
1501,150,0.891629846153854,15
1551,150,0.9577253076923415,15
1601,150,1.0118304615384834,15
1651,150,1.0756356153846565,15
1701,150,1.131254153846175,15
1751,150,1.1845670769231185,15
1801,150,1.2462587692307177,15
1851,150,1.3308634615384387,15
1901,150,1.380364384615422,15
1951,150,1.4434680000000264,15
2001,150,1.5153920769230704,15
2051,150,1.5855279999999625,15
2101,150,1.6641549230769215,15
2151,150,1.7253046153845948,15
2201,150,1.8006178461538498,15
2251,150,1.8868183846154283,15
2301,150,1.955231923076903,15
2351,150,2.019510307692284,15
2401,150,2.124953307692277,15
2451,150,2.220540769230778,15
2501,150,2.313716538461589,15
101,200,0.0,0
151,200,0.0,0
201,200,0.0,0
251,200,0.0,0
301,200,0.0,0
351,200,0.0,0
401,200,0.0,0
451,200,0.0,0
501,200,0.0,0
551,200,0.0,0
601,200,0.0,0
651,200,0.0,0
701,200,0.0,0
751,200,0.0,0
801,200,0.0,0
851,200,0.0,0
901,200,0.0,0
951,200,0.0,0
1001,200,0.0,0
1051,200,0.0,0
