nodes, dimension, seconds, instances
101,50,0.008891769230769201,15
151,50,0.01254207692307697,15
201,50,0.013910384615384554,15
251,50,0.0,0
301,50,0.0,0
351,50,0.0,0
401,50,0.0,0
451,50,0.0,0
501,50,0.0,0
551,50,0.0,0
601,50,0.0,0
651,50,0.0,0
701,50,0.0,0
751,50,0.0,0
801,50,0.0,0
851,50,0.0,0
901,50,0.0,0
951,50,0.0,0
1001,50,0.0,0
1051,50,0.0,0
1101,50,0.0,0
1151,50,0.0,0
1201,50,0.0,0
1251,50,0.0,0
1301,50,0.0,0
1351,50,0.0,0
1401,50,0.0,0
1451,50,0.0,0
1501,50,0.0,0
1551,50,0.0,0
1601,50,0.0,0
1651,50,0.0,0
1701,50,0.0,0
1751,50,0.0,0
1801,50,0.0,0
1851,50,0.0,0
1901,50,0.0,0
1951,50,0.0,0
2001,50,0.0,0
2051,50,0.0,0
2101,50,0.0,0
2151,50,0.0,0
2201,50,0.0,0
2251,50,0.0,0
2301,50,0.0,0
2351,50,0.0,0
2401,50,0.0,0
2451,50,0.0,0
2501,50,0.0,0
101,100,0.02928453846154228,15
151,100,0.03863053846153154,15
201,100,0.04414407692307192,15
251,100,0.0502770769230796,15
301,100,0.055411923076917446,15
351,100,0.06630407692307035,15
401,100,0.07735315384614803,15
451,100,0.08935399999999251,15
501,100,0.10410069230768106,15
551,100,0.12192999999999844,15
601,100,0.1337906923076975,15
651,100,0.15206023076921854,15
701,100,0.0,0
751,100,0.0,0
801,100,0.0,0
851,100,0.0,0
901,100,0.0,0
951,100,0.0,0
1001,100,0.0,0
1051,100,0.0,0
1101,100,0.0,0
1151,100,0.0,0
1201,100,0.0,0
1251,100,0.0,0
1301,100,0.0,0
1351,100,0.0,0
1401,100,0.0,0
1451,100,0.0,0
1501,100,0.0,0
1551,100,0.0,0
1601,100,0.0,0
1651,100,0.0,0
1701,100,0.0,0
1751,100,0.0,0
1801,100,0.0,0
1851,100,0.0,0
1901,100,0.0,0
1951,100,0.0,0
2001,100,0.0,0
2051,100,0.0,0
2101,100,0.0,0
2151,100,0.0,0
2201,100,0.0,0
2251,100,0.0,0
2301,100,0.0,0
2351,100,0.0,0
2401,100,0.0,0
2451,100,0.0,0
2501,100,0.0,0
101,150,0.07329138461536261,15
151,150,0.08288323076920698,15
201,150,0.09004461538461328,15
251,150,0.09673569230770997,15
301,150,0.10605938461540412,15
351,150,0.1199900000000298,15
401,150,0.13252169230768757,15
451,150,0.14994569230767552,15
501,150,0.16670146153849322,15
551,150,0.18464484615384874,15
601,150,0.2073506923076838,15
651,150,0.23008600000001095,15
701,150,0.2521210769231,15
751,150,0.279829538461548,15
801,150,0.30871461538461414,15
851,150,0.33779930769228134,15
901,150,0.0,0
951,150,0.0,0
1001,150,0.0,0
1051,150,0.0,0
1101,150,0.0,0
1151,150,0.0,0
1201,150,0.0,0
1251,150,0.0,0
1301,150,0.0,0
1351,150,0.0,0
1401,150,0.0,0
1451,150,0.0,0
1501,150,0.0,0
1551,150,0.0,0
1601,150,0.0,0
1651,150,0.0,0
1701,150,0.0,0
1751,150,0.0,0
1801,150,0.0,0
1851,150,0.0,0
1901,150,0.0,0
1951,150,0.0,0
2001,150,0.0,0
2051,150,0.0,0
2101,150,0.0,0
2151,150,0.0,0
2201,150,0.0,0
2251,150,0.0,0
2301,150,0.0,0
2351,150,0.0,0
2401,150,0.0,0
2451,150,0.0,0
2501,150,0.0,0
101,200,0.1282786923076261,15
151,200,0.13147176923075676,15
201,200,0.1434411538461273,15
251,200,0.15157669230771156,15
301,200,0.16205215384616167,15
351,200,0.1765589230768945,15
401,200,0.19194623076922512,15
451,200,0.21748653846158889,15
501,200,0.23363592307697006,15
551,200,0.2576315384615974,15
601,200,0.28307069230766924,15
651,200,0.3110821538461306,15
701,200,0.34132146153846266,15
751,200,0.37428869230766043,15
801,200,0.4095966923076993,15
851,200,0.44079753846152087,15
901,200,0.4826853076922886,15
951,200,0.5271996923077216,15
1001,200,0.5655436923076684,15
1051,200,0.6054883076922823,15
1101,200,0.0,0
1151,200,0.7080563846154221,15
1201,200,0.0,0
1251,200,0.0,0
1301,200,0.0,0
1351,200,0.0,0
1401,200,0.0,0
1451,200,0.0,0
1501,200,0.0,0
1551,200,0.0,0
1601,200,0.0,0
1651,200,0.0,0
1701,200,0.0,0
1751,200,0.0,0
1801,200,0.0,0
1851,200,0.0,0
1901,200,0.0,0
1951,200,0.0,0
2001,200,0.0,0
2051,200,0.0,0
2101,200,0.0,0
2151,200,0.0,0
2201,200,0.0,0
2251,200,0.0,0
2301,200,0.0,0
2351,200,0.0,0
2401,200,0.0,0
2451,200,0.0,0
2501,200,0.0,0
101,250,0.18793615384618953,15
151,250,0.1968884615384223,15
201,250,0.20932915384610867,15
251,250,0.21790284615382496,15
301,250,0.23461769230768298,15
351,250,0.2502045384615555,15
401,250,0.2683900000000064,15
451,250,0.29321823076924586,15
501,250,0.31710269230762395,15
551,250,0.3512355384615288,15
601,250,0.379407153846072,15
651,250,0.41382184615388096,15
701,250,0.4467683846154824,15
751,250,0.4898551538461876,15
801,250,0.5306722307692116,15
851,250,0.5691588461538161,15
901,250,0.6191031538461315,15
951,250,0.6685285384614872,15
1001,250,0.7172200769230656,15
1051,250,0.7793732307692293,15
1101,250,0.8298913076923782,15
1151,250,0.8930361538461091,15
1201,250,0.9571146923076762,15
1251,250,1.0165625384615151,15
1301,250,1.088561153846198,15
1351,250,1.1674443076922216,15
1401,250,1.2372508461538088,15
1451,250,1.307850384615379,15
1501,250,1.3785140769230635,15
1551,250,0.0,0
1601,250,0.0,0
1651,250,1.643659923076869,15
1701,250,0.0,0
1751,250,0.0,0
1801,250,0.0,0
1851,250,0.0,0
1901,250,0.0,0
1951,250,0.0,0
2001,250,0.0,0
2051,250,0.0,0
2101,250,0.0,0
2151,250,0.0,0
2201,250,0.0,0
2251,250,0.0,0
2301,250,0.0,0
2351,250,0.0,0
2401,250,0.0,0
2451,250,0.0,0
2501,250,0.0,0
